30/01/25 04:47:59 0000 s 02535ver01 44.753475 8.812293 pp 01
30/01/25 04:48:04 0001 7                  44.753475 8.812293 pp 01 
30/01/25 13:24:17 0291 1                  44.759830 8.798998 pp 01 313932343050303030323931            
30/01/25 13:27:07 0292 1                  44.759607 8.799495 pp 01 313931323050303031363938            
30/01/25 13:27:11 0293 1                  44.759610 8.799488 pp 01 313931323050303030393334            
30/01/25 13:28:16 0294 1                  44.759632 8.799472 pp 01 313931323050303032333033            
30/01/25 13:28:16 0295 1                  44.759632 8.799472 pp 01 313931323050303032333034            
30/01/25 13:29:52 0296 1                  44.759212 8.799710 pp 01 313931323050303032353437            
30/01/25 13:29:52 0297 1                  44.759212 8.799710 pp 01 313931323050303032353438            
30/01/25 13:31:26 0298 1                  44.759028 8.799813 pp 01 313931323050303036303135            
30/01/25 13:32:24 0299 1                  44.759060 8.799815 pp 01 313932343050303030353133            
30/01/25 13:32:24 0300 1                  44.759060 8.799815 pp 01 313932343050303030353934            
30/01/25 13:35:08 0301 1                  44.758460 8.799732 pp 01 313931323050303030353238            
30/01/25 13:35:13 0302 1                  44.758452 8.799748 pp 01 313931323050303030353235            
30/01/25 13:35:47 0303 1                  44.758452 8.799840 pp 01 31383033304D303035393532            
30/01/25 13:35:51 0304 1                  44.758450 8.799852 pp 01 31383033304D303033383132            
30/01/25 13:37:59 0305 1                  44.758270 8.799890 pp 01 313931323050303030353239            
30/01/25 13:37:59 0306 1                  44.758270 8.799890 pp 01 31383132304A303230383239            
30/01/25 13:39:32 0307 1                  44.758287 8.799858 pp 01 31383132304A303233343933            
30/01/25 13:39:32 0308 1                  44.758287 8.799858 pp 01 31383132304A303234323135            
