08/08/25 04:59:38 0000 s 02027ver01 44.752995 8.812312 xx 01
08/08/25 15:20:41 0281 1                  44.767418 8.801918 uu 01 323030323545303031393735            
08/08/25 15:21:05 0282 1                  44.767418 8.801918 uu 01 3231303032334d3034303437            
08/08/25 15:21:52 0283 1                  44.767763 8.802290 uu 01 3231303234304a3032383236            
08/08/25 15:22:58 0284 1                  44.767778 8.802211 uu 01 323030323545303030363839            
08/08/25 15:23:57 0285 1                  44.768238 8.802920 uu 01 3231303132304a3035343034            
08/08/25 15:25:05 0286 1                  44.768288 8.803075 uu 01 3231303234304a3032393131            
08/08/25 15:25:15 0287 1                  44.768440 8.802856 uu 01 3231303234304a3032393132            
08/08/25 15:27:13 0288 1                  44.768601 8.802641 uu 01 3231303234304a3031303939            
08/08/25 15:28:39 0289 1                  44.768601 8.802641 uu 01 323032343055303030303532            
08/08/25 15:31:09 0290 1                  44.767800 8.803280 uu 01 3231303234304a3031313931            
08/08/25 15:31:12 0291 1                  44.767800 8.803280 uu 01 3231303234304a3031313932            
08/08/25 15:32:55 0292 1                  44.767535 8.804260 uu 01 3231303132304a3035323132            
08/08/25 16:28:14 0000 s 02027ver01 44.762372 8.782652 uu 01
